numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Casas,83,4,,1,"R$ 399,900","R$ 4,818.07",São Gabriel,,Casa 4 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 83m²; 3 banheiros e 1 vaga por R$399.900;00. ID 353636428. Confira agora a casa!,0
2,Apartamentos,64,3,,1,"R$ 172,000","R$ 2,687.50",São Gabriel,,Apartamento 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 64m²; 1 banheiro e 1 vaga por R$172.000;00. ID 353506431. Confira agora o apartamento!,0
3,Casas,120,2,,4,"R$ 340,000","R$ 2,833.33",São Gabriel,,Casa 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 120m²; 1 banheiro e 4 vagas por R$340.000;00. ID 351136545. Confira agora a casa!,0
4,Apartamentos,45,2,,1,"R$ 160,000","R$ 3,555.56",São Gabriel,,Apartamento 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 45m²; 1 banheiro e 1 vaga por R$160.000;00. ID 353617028. Confira agora o apartamento!,0
5,Apartamentos,62,2,,1,"R$ 329,990","R$ 5,322.42",São Gabriel,,Apartamento 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 62m²; 1 banheiro e 1 vaga por R$329.990;00. ID 353690918. Confira agora o apartamento!,0
6,,470,3,,3,"R$ 1,000,000","R$ 2,127.66",São Gabriel,,Quitinete à venda no bairro São Gabriel em Belo Horizonte. Quitinete com 470m²; 3 banheiros e 3 vagas por R$1.000.000;00. ID 353626787. Confira agora a quitinete!,1
7,Casas,,3,,3,"R$ 370,000",?,São Gabriel,,Casa 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 2 banheiros e 3 vagas por R$370.000;00. ID 24919945. Confira agora a casa!,1
8,Casas,180,5,,1,"R$ 650,000","R$ 3,611.11",São Gabriel,,Casa 5 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 180m²; 1 suíte; 3 banheiros e 1 vaga por R$650.000;00. ID 353696901. Confira agora a casa!,0
9,Apartamentos,85,3,,2,"R$ 550,000","R$ 6,470.59",São Gabriel,,Apartamento 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 85m²; 1 suíte; 1 banheiro e 2 vagas por R$550.000;00. ID 353516298. Confira agora o apartamento!,0
10,,110,2,,1,"R$ 530,000","R$ 4,818.18",São Gabriel,,Cobertura 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Cobertura com 110m²; 2 banheiros e 1 vaga por R$530.000;00. ID 353663588. Confira agora a cobertura!,0
11,Casas,102,3,,2,"R$ 689,000","R$ 6,754.90",São Gabriel,,Casa 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 102m²; 1 suíte; 2 banheiros e 2 vagas por R$689.000;00. ID 353692938. Confira agora a casa!,0
12,Apartamentos,43,2,,1,"R$ 190,000","R$ 4,418.60",São Gabriel,,Apartamento 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 43m²; 1 banheiro e 1 vaga por R$190.000;00. ID 353483141. Confira agora o apartamento!,0
13,Casas,474,12,,2,"R$ 780,000","R$ 1,645.57",São Gabriel,,Casa 12 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 474m²; 8 banheiros e 2 vagas por R$780.000;00. ID 353563911. Confira agora a casa!,0
14,Terrenos,1073,,,,"R$ 1,100,000","R$ 1,025.16",São Gabriel,,Lote à venda no bairro São Gabriel em Belo Horizonte. Lote com 1073m² por R$1.100.000;00. ID 352045240. Confira agora o lote!,0
15,Casas,85,2,,2,"R$ 410,000","R$ 4,823.53",São Gabriel,,Casa 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 85m²; 1 suíte; 2 banheiros e 2 vagas por R$410.000;00. ID 345851753. Confira agora a casa!,0
16,Apartamentos,9128,2,,2,"R$ 255,000",R$ 27.94,São Gabriel,,Apartamento 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 9128m²; 1 banheiro e 2 vagas por R$255.000;00. ID 353672780. Confira agora o apartamento!,0
17,Casas,360,3,,5,"R$ 810,000","R$ 2,250.00",São Gabriel,,Casa 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 360m²; 1 suíte; 3 banheiros e 5 vagas por R$810.000;00. ID 353489771. Confira agora a casa!,1
18,Apartamentos,73,3,,1,"R$ 315,000","R$ 4,315.07",São Gabriel,,Apartamento 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 73m²; 1 suíte; 2 banheiros e 1 vaga por R$315.000;00. ID 345825197. Confira agora o apartamento!,0
19,Casas,210,4,,4,"R$ 1,100,000","R$ 5,238.10",São Gabriel,,Casa 4 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 210m²; 1 suíte; 3 banheiros e 4 vagas por R$1.100.000;00. ID 353686095. Confira agora a casa!,1
20,,84,4,,1,"R$ 430,000","R$ 5,119.05",São Gabriel,,Cobertura 4 quartos à venda no bairro São Gabriel em Belo Horizonte. Cobertura com 84m²; 1 suíte; 3 banheiros e 1 vaga por R$430.000;00. ID 351090686. Confira agora a cobertura!,0
21,Terrenos,1073,,,,"R$ 1,100,000","R$ 1,025.16",São Gabriel,,Lote à venda no bairro São Gabriel em Belo Horizonte. Lote com 1073m² por R$1.100.000;00. ID 352045240. Confira agora o lote!,0
22,,162,3,,3,"R$ 595,000","R$ 3,672.84",São Gabriel,,Cobertura 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Cobertura com 162m²; 1 suíte; 2 banheiros e 3 vagas por R$595.000;00. ID 353700310. Confira agora a cobertura!,0
23,,1350,,,,"R$ 4,000,000","R$ 2,962.96",São Gabriel,,Galpão à venda no bairro São Gabriel em Belo Horizonte. Galpão com 1350m² e 4 banheiros por R$4.000.000;00. ID 353407707. Confira agora o galpão!,0
24,Casas,272,5,,10,"R$ 750,000","R$ 2,757.35",São Gabriel,,Casa 5 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 272m²; 2 suítes; 4 banheiros e 10 vagas por R$750.000;00. ID 353560422. Confira agora a casa!,1
25,Casas,200,4,,2,"R$ 680,000","R$ 3,400.00",São Gabriel,,Casa 4 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 200m²; 2 suítes; 4 banheiros e 2 vagas por R$680.000;00. ID 353721536. Confira agora a casa!,1
26,Apartamentos,44,2,,1,"R$ 282,000","R$ 6,409.09",São Gabriel,,Apartamento 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 44m²; 1 banheiro e 1 vaga por R$282.000;00. ID 353503993. Confira agora o apartamento!,0
27,Casas,254,3,,4,"R$ 1,150,000","R$ 4,527.56",São Gabriel,,Casa 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Casa com 254m²; 1 suíte; 4 banheiros e 4 vagas por R$1.150.000;00. ID 353522338. Confira agora a casa!,1
28,,162,3,,3,"R$ 599,000","R$ 3,697.53",São Gabriel,,Cobertura 3 quartos à venda no bairro São Gabriel em Belo Horizonte. Cobertura com 162m²; 1 suíte; 3 banheiros e 3 vagas por R$599.000;00. ID 353693478. Confira agora a cobertura!,0
29,Apartamentos,49,2,,,"R$ 245,000","R$ 5,000.00",São Gabriel,,Apartamento 2 quartos à venda no bairro São Gabriel em Belo Horizonte. Apartamento com 49m² e 1 banheiro por R$245.000;00. ID 353659179. Confira agora o apartamento!,0
