numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Casas,70,3,1,2,"R$ 370,000","R$ 5,285.71",Rubem Berta,Rua Caetano Fulginiti,Casa com 3 quartos; sendo um suíte; banheiro social; living 2 ambientes; cozinha; área de serviço; pátio nos fundos com churrasqueira; garagem com vaga para 2 carros. Localizada próximo das Ruas Salvador de Rose; José Viero e da Av. Beira Rio. Aceita financiamento e FGTS! Para mais informações ou ag,0
2,Casas,310,3,4,2,"R$ 720,000","R$ 2,322.58",Rubem Berta,Rua Oscar Ferreira,Excelente casa de 2 pavimentos; sendo 3 quartos; 2 suítes;1 closet; 2 salas grandes; 2 cozinhas planejadas; 1 despensa; escritório; 2 banheiros sociais; 2 vagas de garagem; quiosque com churrasqueira; piscina; quintal nos fundos. Recém reformada e quitada!,1
3,Terrenos,170000,,,,"R$ 12,000,000",R$ 70.59,Rubem Berta,Rua do Bosque,Área de 170.000 metros quadrados (17 hectares) à venda no bairro Rubem Berta - Porto Alegre - ideal para loteamento ou empreendimento  Excelente oportunidade de investimento em gleba urbana à venda no bairro Rubem Berta; Zona Norte de Porto Alegre. Área com aproximadamente 170.000 metros quadrados (,0
4,Apartamentos,37,2,,,"R$ 139,700","R$ 3,775.68",Rubem Berta,,Apartamento 2 quartos à venda no bairro Rubem Berta em Porto Alegre. Apartamento com 37m² por R$139.700;00. ID 353368824. Confira agora o apartamento!,0
5,Terrenos,127,,,,"R$ 168,000","R$ 1,322.83",Rubem Berta,Avenida Arroio Feijó,Localizado no Verdes Campos; este terreno proporciona uma vista permanente para a natureza; combinando tranquilidade e segurança em um ambiente ideal para viver com conforto e estilo.  Infraestrutura: O terreno está situado em um condomínio com uma estrutura completa; incluindo clube com piscinas ad,0
6,Terrenos,376,,,,"R$ 450,000","R$ 1,196.81",Rubem Berta,Avenida Arroio Feijó,Foxter Imobiliária vende lote com 376;15m² de área. Desfrute do clube de lazer do Reserva da Mata é o ponto alto do condomínio. Privativo aos moradores e seus convidados; ele concentra opções de lazer para todas as épocas do ano. Agende uma visita!,0
7,Terrenos,553,,,,"R$ 259,000",R$ 468.35,Rubem Berta,Rua Vicente Celestino,Terreno de Esquina no Bairro Rubem Berta - Excelente Oportunidade  Apresentamos este terreno de esquina no bairro Rubem Berta; com dimensões de 18;95m x 29;33m; ideal para quem busca investir ou construir em uma localização estratégica. Com ampla visibilidade; o terreno oferece inúmeras possibilidad,0
8,Terrenos,276,,,,"R$ 250,000",R$ 905.80,Rubem Berta,Avenida Maurício Seligman,Terreno medindo 276;11m²; localizado na rua Mauricio Seligman; em Porto Alegre. Pode ser adquirido separado ou em conjunto com o terreno ao lado.  Os dois terrenos somam 585m².  Condições especiais para aquisição dos 2 terrenos juntos; com possibilidade de avaliação de imóvel de menor valor; carro e,0
9,Terrenos,177,,,,"R$ 179,000","R$ 1,011.30",Rubem Berta,Avenida Arroio Feijó,Terreno medindo aproximadamente 177m² com área verde nos fundos e vista para o clube. O condomínio possui lago; playgroung; piscinas; praça; segurança. Conta com localização privilegiada próximo de universidades shopping; hospitais; mercados. *avalia carro no negócio.,0
10,Terrenos,300,,,,"R$ 425,700","R$ 1,419.00",Rubem Berta,Avenida Baltazar de Oliveira Garcia,Terreno com 300m² localizado no bairro São Sebastião; próximo a academias; bares; lancherias; supermercados; agências bancárias; escolas; praças; áreas verdes; hospitais e aos principais comércios da região. Paradas de ônibus.  Terreno na Av. Baltazar de Oliveira Garcia com área total de 300 m² com ,0
11,Terrenos,320,,,,"R$ 145,000",R$ 453.12,Rubem Berta,Rua Caetano La Porta,òtimo Terreno em excelente localização no Bairro Parque dos Maias; na zona antiga; só de casas; proximo a recursos; ônibus; super. Rua calçada. ótima vizinhança. agende hoje mesmo uma visita! -,0
12,Terrenos,900,,,,"R$ 600,000",R$ 666.67,Rubem Berta,,ARV Imóveis; vende terreno em Porto Alegre/RS. Imóvel possuí 900 m² de área territorial; com dimensões de 30m x 30m. Imóvel ideal para empresas do ramo comercial ou para uso residencial. Ótima localização; fica de frente para a estrada Martin Felix Berta. Fácil acesso às principais rodovias do munic,0
13,Casas,109,3,2,3,"R$ 350,000","R$ 3,211.01",Rubem Berta,Rua Caetano La Porta,Venha conhecer esta ampla casa residencial desocupada;com patio espaçoso e pronta para morar! Com 3 quartos; 2 banheiros (sendo 1 suíte) e 3 vagas de garagem. Localizada na Rua Caetano La Porta; no bairro Rubem Berta em Porto Alegre; RS. Esta charmosa casa oferece área de serviço; terraço; churrasqu,0
14,Terrenos,553,,,,"R$ 260,000",R$ 470.16,Rubem Berta,Rua Vicente Celestino,Oportunidade de Terreno à Venda  Excelente terreno de esquina com 553m²; localizado no Bairro Rubem Berta; próximo a avenida Bernardino Silveira Amorim. Este espaço amplo é ideal para diversas possibilidades; como a construção de residências; comércio ou um pequeno empreendimento.  O bairro Rubem Be,0
15,Terrenos,25500,,,,"R$ 3,200,000",R$ 125.49,Rubem Berta,Avenida Delegado Ely Corrêa Prado,ótimo terreno para construir; com uma frente de 100 metros por 250 metros de fundos;perto de super mercado e fim de linha dos ônibus.,0
16,Terrenos,233,,,,"R$ 180,000",R$ 772.53,Rubem Berta,Avenida João Ferreira Jardim,Construa sua casa em um ambiente seguro e planejado!  Terreno com 233;34 m²; localizado no condomínio Vivenda das Flores; no bairro Rubem Berta ? ideal para quem busca qualidade de vida e praticidade.  Destaques: Terreno plano Condomínio fechado Mais segurança e organização Ótima metragem para casa ,0
